par,month,lng,lat,measure,observed,daymet
48758,1,-120.15,39.17,ppts,6.26730549789474,6.640884624594596
48758,2,-120.15,39.17,ppts,5.334026916842106,6.647907399189186
48758,3,-120.15,39.17,ppts,4.780358984210519,5.9749979062162195
48758,4,-120.15,39.17,ppts,2.34811564842105,2.671740110540538
48758,5,-120.15,39.17,ppts,1.6201832205263156,1.684082628918918
48758,6,-120.15,39.17,ppts,0.7231665736842108,0.7494151737837838
48758,7,-120.15,39.17,ppts,0.19167022368421047,0.11991919648648645
48758,8,-120.15,39.17,ppts,0.4442604968421053,0.2796341156756756
48758,9,-120.15,39.17,ppts,0.5820558468421055,0.8085767294594596
48758,10,-120.15,39.17,ppts,1.6023630699999996,2.7152600318918907
48758,11,-120.15,39.17,ppts,3.6636986215789453,5.105557130270273
48758,12,-120.15,39.17,ppts,6.298387155789471,7.326562798648648
48758,1,-120.15,39.17,tmaxs,41.29674023769101,42.3566695727986
48758,2,-120.15,39.17,tmaxs,42.39455985095483,43.76384596986367
48758,3,-120.15,39.17,tmaxs,46.76427843803056,47.581220575414115
48758,4,-120.15,39.17,tmaxs,49.3624210526316,52.776702702702735
48758,5,-120.15,39.17,tmaxs,56.97813242784381,60.78289450741069
48758,6,-120.15,39.17,tmaxs,64.53957894736843,70.14232432432436
48758,7,-120.15,39.17,tmaxs,72.60359932088281,78.51140366172623
48758,8,-120.15,39.17,tmaxs,71.90224108658742,78.08800348735834
48758,9,-120.15,39.17,tmaxs,68.94736842105263,71.73313513513511
48758,10,-120.15,39.17,tmaxs,59.5118845500849,60.7838360941587
48758,11,-120.15,39.17,tmaxs,47.546631578947384,48.5467027027027
48758,12,-120.15,39.17,tmaxs,41.229507640067915,41.37600697471664
48758,1,-120.15,39.17,tmins,21.068896434634972,21.145858761987796
48758,2,-120.15,39.17,tmins,21.82945505356311,21.670987801961267
48758,3,-120.15,39.17,tmins,24.619694397283524,24.805492589363556
48758,4,-120.15,39.17,tmins,27.365789473684217,28.018432432432434
48758,5,-120.15,39.17,tmins,33.801833616298815,33.90781168265039
48758,6,-120.15,39.17,tmins,38.79957894736842,40.319405405405405
48758,7,-120.15,39.17,tmins,44.85915110356537,46.24322580645161
48758,8,-120.15,39.17,tmins,44.117758913412565,45.815117698343506
48758,9,-120.15,39.17,tmins,41.93568421052631,40.926702702702705
48758,10,-120.15,39.17,tmins,34.858302207130734,33.619215344376634
48758,11,-120.15,39.17,tmins,26.707052631578943,26.501567567567573
48758,12,-120.15,39.17,tmins,21.628149405772515,21.26732345248476
48758,1,-120.15,39.17,nwds,12.631578947368421,10.405405405405405
48758,2,-120.15,39.17,nwds,12.842105263157896,10.486486486486486
48758,3,-120.15,39.17,nwds,12.631578947368421,11.324324324324325
48758,4,-120.15,39.17,nwds,10.31578947368421,8.0
48758,5,-120.15,39.17,nwds,7.105263157894737,5.378378378378378
48758,6,-120.15,39.17,nwds,3.8947368421052633,2.675675675675676
48758,7,-120.15,39.17,nwds,1.105263157894737,0.5135135135135135
48758,8,-120.15,39.17,nwds,1.9473684210526316,1.135135135135135
48758,9,-120.15,39.17,nwds,2.8421052631578947,2.27027027027027
48758,10,-120.15,39.17,nwds,4.2631578947368425,4.864864864864865
48758,11,-120.15,39.17,nwds,8.789473684210526,8.891891891891891
48758,12,-120.15,39.17,nwds,12.368421052631579,11.216216216216216
