ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Stream discharge (m^3/yr),Stream discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
lt_Caldor_43_Trout_Creek_Caldor_CurCond,CurCond,Trout,9869.88,89359592.0,905.3766813780919,29675019.0,300.6624092694137,50.3,5.096313227719081,1099.5,111.3995306933823,544.5,55.16784398594512,0.474,1271.3,0.12880602398408086,0.3217,175.16565,17.747495410278546
lt_Caldor_44_Upper_Truckee_River_Big_Meadow_Creek_Caldor_CurCond,CurCond,UTR,13324.43,136593668.0,1025.1370452619738,90008566.0,675.5153203551672,2016.2,151.31604128656912,6599.2,495.270717021291,2642.6,198.32743314348156,0.307,3665.5,0.2750961954845348,0.3341,882.89266,66.26119541323719
Caldor_SilverForkAmerican_CurCond.gridmet,CurCond,Silver Fork,27562.89,337714321.0,1225.2500409064507,171704775.0,622.9563554474876,726.6,26.361531755196935,25298.1,917.8319109498315,10710.5,388.58407082856695,0.412,11551.5,0.4190961107489091,0.3318,3553.7439,128.93219470091853
Caldor_SF_Ameri_at_Kyburz_CurCond.gridmet,CurCond,South Fork,17048.99,202908015.0,1190.1468356776559,118508621.0,695.1064021974321,3279.0,192.3281085859045,17351.3,1017.7318421795073,6919.6,405.8656847121149,0.335,7488.4,0.43922836484741906,0.3348,2316.68208,135.88383124161606
Caldor_SlyParkCreek_CurCond.gridmet,CurCond,Sly Park,2398.62,32030279.0,1335.3627919386981,17302703.0,721.3607407592699,121.5,50.65412612252045,827.4,344.94834529854666,953.4,397.47855016634566,1.005,1036.1,0.43195670844068673,0.1988,189.53592,79.01873577306952
Caldor_CampCreek_CurCond.gridmet,CurCond,Camp Creek,7345.52,100560912.0,1369.0101177316242,50359055.0,685.5750852220128,162.4,22.10871388274758,4256.1,579.4143913569087,2165.3,294.7783138566092,0.49,2411.6,0.3283089556627713,0.37650000000000006,815.2354500000002,110.98403516701339
Caldor_NF_Cosumnes_CurCond.gridmet,CurCond,North Fork Cosumnes,10230.71,139765596.0,1366.1377949330986,65240842.0,637.6961325264816,484.1,47.318319060944944,7457.7,728.9523405511446,4588.1,448.46349862326275,0.578,4904.5,0.4793899934608644,0.2854,1309.44374,127.99148250707918
Caldor_SteelyForkCosumnes_CurCond.gridmet,CurCond,Steely Fork Cosumnes,4624.85,55056210.0,1190.4431495075517,27369260.0,591.7869768749257,106.3,22.98452922797496,1490.2,322.2158556493724,944.9,204.3093289512092,0.592,1076.3,0.23272106122360722,0.3231,305.29719,66.0123441841357
Caldor_DogTownCreek_CurCond.gridmet,CurCond,Dog Town Creek,4859.0,61705221.0,1269.916052685738,30551645.0,628.7640461000206,99.9,20.559785964190162,2594.2,533.8958633463676,2714.6,558.6746244083145,1.008,2862.9,0.5891953076764767,0.19430000000000003,527.4467800000001,108.55047952253553
lt_Caldor_43_Trout_Creek_Caldor_SBS,SBS,Trout,9869.88,89359592.0,905.3766813780919,31257809.0,316.69897708989373,218.4,22.127928607034736,1125.7,114.05407157939105,564.1,57.15368373273029,0.42,1322.4,0.13398339189534222,0.3191,180.00431,18.237740479114237
lt_Caldor_44_Upper_Truckee_River_Big_Meadow_Creek_Caldor_SBS,SBS,UTR,13324.43,136593668.0,1025.1370452619738,91222884.0,684.6287908751068,2506.4,188.10560751942108,6652.1,499.2408680896669,3004.9,225.5180897044001,0.328,4107.4,0.3082608411766957,0.3093,929.4155700000001,69.75274514557096
Caldor_SilverForkAmerican_SBS.gridmet,SBS,Silver Fork,27562.89,337714321.0,1225.2500409064507,193036942.0,700.3508775748842,1624.0,58.91980122548833,27724.7,1005.8705745297391,12595.1,456.95861355612567,0.429,13543.4,0.49136356891458044,0.3189,4016.5773900000004,145.7241018630485
Caldor_SF_Ameri_at_Kyburz_SBS.gridmet,SBS,South Fork,17048.99,202908015.0,1190.1468356776559,138485674.0,812.2808095963454,11887.8,697.2729762877449,19894.6,1166.907834423036,9674.6,567.4588348048769,0.304,10343.7,0.6067045613845746,0.3197,3092.96962,181.41658948711915
Caldor_SlyParkCreek_SBS.gridmet,SBS,Sly Park,2398.62,32030279.0,1335.3627919386981,20185250.0,841.535966514079,4999.8,2084.4485579208044,955.8,398.4791254971609,5960.1,2484.803762163244,1.001,6057.7,2.525493825616396,0.2359,1405.9875900000002,586.1652074943092
Caldor_CampCreek_SBS.gridmet,SBS,Camp Creek,7345.52,100560912.0,1369.0101177316242,58347423.0,794.3266508021215,5491.8,747.6393774708938,4826.1,657.0127097877345,6083.2,828.1510362778945,0.59,6369.8,0.8671680153345168,0.3251,1977.64832,269.23190189394353
Caldor_NF_Cosumnes_SBS.gridmet,SBS,North Fork Cosumnes,10230.71,139765596.0,1366.1377949330986,77539738.0,757.9116014431062,15722.0,1536.7457390542788,8593.9,840.0101263744159,14758.8,1442.5978255663588,0.607,15137.9,1.4796529273139403,0.2901,4281.527880000001,418.49762919680074
Caldor_SteelyForkCosumnes_SBS.gridmet,SBS,Steely Fork Cosumnes,4624.85,55056210.0,1190.4431495075517,34258318.0,740.7444133323243,5990.6,1295.3068748175615,1808.0,390.93159778154967,4337.2,937.8033882179961,0.556,4503.7,0.973804555823432,0.33220000000000005,1440.8178400000002,311.5382855660184
Caldor_DogTownCreek_SBS.gridmet,SBS,Dog Town Creek,4859.0,61705221.0,1269.916052685738,36514397.0,751.4796665980655,4799.8,987.8164231323318,3044.9,626.6515743980243,7797.6,1604.7746449886808,0.994,7976.3,1.6415517596213214,0.2177,1697.53752,349.3594402140358
lt_Caldor_43_Trout_Creek_Caldor_Trtmt,Trtmt,Trout,9869.88,89359592.0,905.3766813780919,30962745.0,313.70943719680486,123.2,12.482421265506774,1120.2,113.49682063003806,559.8,56.71801480869069,0.45,1311.8,0.13290941733840736,0.3191,178.63217999999998,18.098718525453194
lt_Caldor_44_Upper_Truckee_River_Big_Meadow_Creek_Caldor_Trtmt,Trtmt,UTR,13324.43,136593668.0,1025.1370452619738,91051290.0,683.3409759366817,2314.9,173.73351055167086,6645.3,498.730527309611,2898.8,217.55527253323407,0.324,3979.1,0.29863191145887663,0.3175,920.369,69.07379902930181
